"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Calothrix sp. PCC 6303",0,0,42,0,0,0
"Leptolyngbya sp. 7M",0,0,16,0,0,0
"Leptolyngbya iicbica",0,0,60,0,122,0
"Gloeothece citriformis",0,0,15,0,0,0
"Microcystis aeruginosa",0,0,44,34,36,0
"Thermocoleostomius sinensis",0,0,46,0,0,0
"Gloeobacter violaceus",0,0,20,0,0,0
"Gloeobacter kilaueensis",0,0,11,0,0,13
"Thalassoporum mexicanum",0,0,11,0,0,0
"Pleurocapsa sp. FMAR1",0,0,15,25,12,0
"Stanieria cyanosphaera",0,0,15,0,0,0
"Moorena producens",0,0,20,24,25,42
"Gloeomargarita lithophora",0,0,19,0,0,0
"Desertifilum tharense",0,0,15,0,0,0
"Spiroplasma sp. TIUS-1",0,0,143,16,0,0
"Spiroplasma endosymbiont of Cantharis rufa",0,0,224,65,0,0
"Spiroplasma endosymbiont of Asaphidion curtum",0,0,291,0,0,0
"Spiroplasma endosymbiont of Crioceris asparagi",0,0,25,30,0,0
"Spiroplasma culicicola",0,0,19,0,0,76
"Mycoplasma phocoenae",0,0,97,97,0,0
"Mycoplasma sp. P36-A1",0,0,24,98,31,20
"Mycoplasma sp. E35C",0,0,15,0,0,0
"Mycoplasma anserisalpingitidis",0,0,68,0,0,0
"Mycoplasma suis",0,0,16,0,0,0
"Mycoplasma corogypsi",0,0,17,0,0,0
"Mycoplasma putrefaciens",0,0,26,0,26,0
"Acholeplasma laidlawii",0,0,84,14,11,0
"Acholeplasma palmae",0,0,36,0,60,0
"Candidatus Phytoplasma solani",0,0,106,0,0,0
"Haploplasma axanthum",0,0,11,53,0,0
"Candidatus Xianfuyuplasma coldseepsis",0,0,60,64,0,0
"Candidatus Izemoplasma sp. B36",0,0,11,0,0,0
"Mycoplasmopsis cynos",0,0,167,0,0,0
"Mycoplasmopsis felis",0,0,33,16,17,0
"Malacoplasma penetrans",0,0,33,0,0,0
"Malacoplasma muris",0,0,17,0,0,0
"Dehalogenimonas formicexedens",0,0,48,0,0,0
"Dehalogenimonas sp. 4OHTPN",0,0,18,0,32,20
"Candidatus Dehalogenimonas loeffleri",0,0,14,0,0,0
"Candidatus Lucifugimonas marina",0,0,30,0,0,0
"Roseiflexus sp. RS-1",0,0,57,0,0,0
"Thermobaculum terrenum",0,0,13,0,11,13
"Candidatus Brevifilum fermentans",0,0,13,0,0,0
"Caldilinea aerophila",0,0,24,0,0,0
"Thermoflexus hugenholtzii",0,0,17,0,0,0
"Fimbriimonas ginsengisoli",0,0,16,0,0,0
"Thermanaerovibrio acidaminovorans",0,0,34,0,0,0
"Aminobacterium colombiense",0,0,19,0,0,0
"Deinococcus sp. VB343",0,0,101,0,67,0
"Deinococcus altitudinis",0,0,99,0,0,0
"Deinococcus radiopugnans",0,0,41,0,0,0
"Deinococcus geothermalis",0,0,39,0,0,0
"Deinococcus radiomollis",0,0,26,0,0,0
"Deinococcus taeanensis",0,0,25,11,0,0
"Deinococcus radiophilus",0,0,14,0,0,0
"Deinococcus aetherius",0,0,12,0,0,0
"Deinococcus psychrotolerans",0,0,10,0,0,0
"Thermus thermophilus",0,0,181,0,0,0
"Thermus aquaticus",0,0,36,0,0,0
"Meiothermus ruber",0,0,110,44,0,13
"Meiothermus taiwanensis",0,0,26,0,0,0
"Marinithermus hydrothermalis",0,0,26,0,0,0
"Truepera radiovictrix",0,0,39,0,25,0
"Thermosipho ferrireducens",0,0,24,0,0,0
"Leptotrichia buccalis",0,0,68,0,0,0
"Leptotrichia trevisanii",0,0,42,185,62,0
"Leptotrichia hongkongensis",0,0,40,0,0,0
"Candidatus Nanosynbacter sp. TM7-008",0,0,38,175,63,39
"Candidatus Minimicrobia sp. QA0096",0,0,49,216,50,79
"Candidatus Minimicrobia vallesae",0,0,50,219,67,0
"Candidatus Minimicrobia naudis",0,0,27,126,29,0
"Candidatus Mycosynbacter amalyticus",0,0,40,0,0,0
"Allomicrovenator marinus",0,0,60,0,0,0
"Halorubrum sp. 2020YC2",0,0,194,0,0,0
"Halorubrum trapanicum",0,0,64,0,0,0
"Halobaculum roseum",0,0,23,0,0,0
"Haloprofundus halobius",0,0,40,0,0,0
"Halorarum halophilum",0,0,40,0,0,0
"Halopenitus persicus",0,0,45,16,0,0
"Salinigranum marinum",0,0,13,0,0,0
"Halobellus marinus",0,0,13,0,0,0
"Halostagnicola larsenii",0,0,102,0,0,0
"Halovivax cerinus",0,0,16,0,0,0
"Natronococcus zhouii",0,0,13,0,0,0
"Salinirubellus salinus",0,0,34,60,0,0
"Natronomonas pharaonis",0,0,12,0,0,0
"Natronomonas salina",0,0,13,0,0,0
"Halocatena marina",0,0,27,0,12,0
"Haloglomus salinum",0,0,12,0,0,0
"Halorarius halobius",0,0,14,0,0,0
"Halorussus vallis",0,0,47,0,16,0
"Haladaptatus pallidirubidus",0,0,18,0,0,0
"Halomicrococcus gelatinilyticus",0,0,51,0,0,0
"Halorientalis sp. IM1011",0,0,33,0,0,20
"Halalkalicoccus salilacus",0,0,47,0,0,0
"Halobacterium litoreum",0,0,42,0,0,0
"Haloarchaeobius sp. DT45",0,0,27,0,0,0
"Methanosarcina barkeri",0,0,51,0,36,0
"Methanofollis aquaemaris",0,0,36,0,0,0
"Methanoculleus receptaculi",0,0,25,0,0,0
"Methanosphaerula palustris",0,0,27,0,18,0
"Methanocorpusculum labreanum",0,0,18,0,0,36
"Methanobrevibacter smithii",0,0,615,90,3330,16
"Methanobacterium aridiramus",0,0,69,0,0,0
"Methanobacterium formicicum",0,0,50,0,0,0
"Methanobacterium ferruginis",0,0,11,0,0,0
"Methanosphaera stadtmanae",0,0,21,0,0,0
"Methanocaldococcus jannaschii",0,0,11,0,0,0
"Archaeoglobus profundus",0,0,19,0,0,0
"Ferroglobus placidus",0,0,15,0,0,0
"Thermococcus nautili",0,0,18,0,0,0
"Acidianus ambivalens",0,0,16,0,0,0
"Acidianus manzaensis",0,0,10,17,0,0
"Sulfodiicoccus acidiphilus",0,0,19,0,0,0
"Diorhovirus intestinalis",0,0,1274,0,0,851
"Diorhovirus copri",0,0,31,0,0,0
"Dabirmavirus hominis",0,0,504,0,0,0
"Wotdevirus murinus",0,0,21,0,0,0
"Fohxhuevirus gastrointestinalis",0,0,13,0,81,0
"Afonbuvirus intestinihominis",0,0,1992,171,0,0
"Afonbuvirus faecalis",0,0,1652,186,0,25
"Afonbuvirus coli",0,0,549,0,0,0
"Besingivirus coli",0,0,11,0,0,0
"Kahucivirus intestinalis",0,0,70,0,0,0
"Pipoluvirus rarus",0,0,34,0,0,0
"Mahlunavirus rarus",0,0,24,15,0,929
"Satomivirus wayo",0,0,5941,0,0,0
"Lughvirus lugh",0,0,126,85,0,1789
"Hnatkovirus DS6A",0,0,17,0,0,0
"Eponavirus epona",0,0,14,0,0,0
"Fengtaivirus Axp2",0,0,13,0,0,0
"Skogvirus Skog",0,0,10,0,0,0
"Bixzunavirus quasimodo",0,0,13,0,0,0
"Theiavirus salishense",0,0,52,0,0,0
"Cellulosilyticum lentocellum",0,0,0,16,0,0
"Clostridium sp. CM042",0,0,0,43,0,0
"Clostridium sp. MB05",0,0,0,22,0,51
"Clostridium sp. JS66",0,0,0,25,14,0
"Clostridium sp. 'deep sea'",0,0,0,13,15,34
"Clostridium carboxidivorans",0,0,0,109,18,0
"Clostridium saccharobutylicum",0,0,0,54,38,40
"Clostridium sporogenes",0,0,0,198,0,0
"Clostridium caseinilyticum",0,0,0,39,36,15
"Clostridium drakei",0,0,0,26,0,0
"Haloimpatiens sporogenes",0,0,0,22,13,0
"Haloimpatiens myeolchijeotgali",0,0,0,16,37,10
"Dehalobacter sp. TBBPA1",0,0,0,54,0,0
"Helicovermis profundi",0,0,0,19,0,12
"Alkalicella caledoniensis",0,0,0,28,10,26
"Romboutsia sp. CE17",0,0,0,905,61,245
"Clostridioides sp. ES-S-0054-01",0,0,0,136,0,0
"Terrisporobacter petrolearius",0,0,0,300,81,267
"Faecalimicrobium sp. JNUCC 81",0,0,0,402,38,103
"Peptostreptococcus equinus",0,0,0,62,23,29
"Acetoanaerobium sticklandii",0,0,0,15,0,0
"Alkaliphilus oremlandii",0,0,0,23,0,47
"Thermanaeromonas toyohensis",0,0,0,156,21,0
"Halothermothrix orenii",0,0,0,19,64,16
"Streptococcus sp. HSISS3",0,0,0,874,36,185
"Streptococcus sp. NPS 308",0,0,0,387,0,0
"Streptococcus sp. KHUD_015",0,0,0,237,29,67
"Streptococcus sp. KHUD_011",0,0,0,214,33,35
"Streptococcus sp. 517s",0,0,0,162,23,0
"Streptococcus sp. HJ1",0,0,0,300,0,0
"Streptococcus sp. SN-1",0,0,0,157,29,38
"Streptococcus sp. K0074",0,0,0,141,0,29
"Streptococcus sp. D7B5",0,0,0,283,0,0
"Streptococcus sp. KHUD_016",0,0,0,267,0,0
"Streptococcus sp. 1643",0,0,0,177,0,0
"Streptococcus sp. KHUD_018",0,0,0,102,0,0
"Streptococcus sp. 116-D4",0,0,0,106,0,0
"Streptococcus sp. oral taxon 064",0,0,0,187,0,0
"Streptococcus sp. FSL W8-0197",0,0,0,189,0,0
"Streptococcus sp. NSJ-72",0,0,0,82,0,0
"Streptococcus toyakuensis",0,0,0,261,30,0
"Streptococcus anginosus",0,0,0,1886,320,60
"Streptococcus gallolyticus",0,0,0,2706,0,23
"Streptococcus nidrosiense",0,0,0,309,0,50
"Streptococcus mutans",0,0,0,225,273,479
"Streptococcus tangpeifui",0,0,0,159,12,13
"Streptococcus parapneumoniae",0,0,0,229,27,0
"Streptococcus periodonticum",0,0,0,264,38,0
"Streptococcus milleri",0,0,0,207,0,0
"Streptococcus pseudopneumoniae",0,0,0,85,0,0
"Streptococcus infantarius",0,0,0,82,27,0
"Streptococcus pluranimalium",0,0,0,33,30,0
"Streptococcus pseudoporcinus",0,0,0,31,0,0
"Streptococcus didelphis",0,0,0,21,0,0
"Streptococcus suivaginalis",0,0,0,24,0,0
"Streptococcus himalayensis",0,0,0,19,0,0
"Streptococcus iniae",0,0,0,16,0,0
"Streptococcus urinalis",0,0,0,16,0,0
"Streptococcus respiraculi",0,0,0,13,0,0
"Streptococcus parauberis",0,0,0,10,0,0
"Lactococcus formosensis",0,0,0,69,0,0
"Floricoccus penangensis",0,0,0,61,0,0
"Enterococcus saigonensis",0,0,0,12422,0,0
"Enterococcus dispar",0,0,0,96,23,0
"Enterococcus sp. DIV1939",0,0,0,70,0,0
"Enterococcus mundtii",0,0,0,47,0,0
"Enterococcus gilvus",0,0,0,29,40,0
"Enterococcus lactis",0,0,0,30,0,0
"Enterococcus wangshanyuanii",0,0,0,10,0,11
"Vagococcus fluvialis",0,0,0,46,20,22
"Leuconostoc gelidum",0,0,0,106,0,0
"Leuconostoc gasicomitatum",0,0,0,17,0,0
"Leuconostoc citreum",0,0,0,67,0,0
"Leuconostoc falkenbergense",0,0,0,14,0,0
"Lactobacillus sp. PV012",0,0,0,124,0,31
"Lactobacillus sp. IBH004",0,0,0,15,0,0
"Lactobacillus sp. PV034",0,0,0,10,0,0
"Lactobacillus panisapium",0,0,0,59,18,26
"Lactobacillus amylolyticus",0,0,0,19,0,0
"Lactobacillus paragasseri",0,0,0,70,0,114
"Lactobacillus johnsonii",0,0,0,15,21,34
"Lactobacillus mulieris",0,0,0,13,0,0
"Lactobacillus apis",0,0,0,12,0,0
"Weissella confusa",0,0,0,432,243,0
"Weissella soli",0,0,0,37,0,0
"Weissella cibaria",0,0,0,17,0,41
"Lacticaseibacillus pantheris",0,0,0,13,0,0
"Companilactobacillus paralimentarius",0,0,0,34,0,14
"Companilactobacillus allii",0,0,0,12,0,0
"Fructilactobacillus sanfranciscensis",0,0,0,69,0,0
"Pediococcus parvulus",0,0,0,18,0,0
"Levilactobacillus namurensis",0,0,0,26,20,0
"Liquorilactobacillus mali",0,0,0,25,0,0
"Lentilactobacillus parabuchneri",0,0,0,13,0,0
"Apilactobacillus apisilvae",0,0,0,25,0,24
"Paucilactobacillus hokkaidonensis",0,0,0,14,0,0
"Oenococcus alcoholitolerans",0,0,0,11,0,0
"Carnobacterium sp. TMP28",0,0,0,23,0,0
"Carnobacterium sp. 17-4",0,0,0,39,0,0
"Carnobacterium maltaromaticum",0,0,0,32,15,0
"Jeotgalibaca sp. MA1X17-3",0,0,0,21,10,0
"Jeotgalibaca ciconiae",0,0,0,23,26,0
"Globicatella sanguinis",0,0,0,87,0,0
"Abiotrophia defectiva",0,0,0,90,64,0
"Aerococcus sanguinicola",0,0,0,26,0,0
"Aerococcus urinaehominis",0,0,0,12,21,0
"Fundicoccus culcitae",0,0,0,12,0,0
"Bacillus sp. AK128",0,0,0,29,0,20
"Bacillus sp. FJAT-22090",0,0,0,27,0,18
"Bacillus sp. YBsi01",0,0,0,14,19,0
"Bacillus sp. DTU_2020_1000418_1_SI_GHA_SEK_038",0,0,0,10,0,0
"Bacillus tropicus",0,0,0,16,0,0
"Bacillus atrophaeus",0,0,0,17,0,14
"Bacillus licheniformis",0,0,0,53,0,0
"Bacillus halotolerans",0,0,0,14,0,0
"Bacillus pumilus",0,0,0,25,0,39
"Bacillus altitudinis",0,0,0,29,0,0
"Bacillus methanolicus",0,0,0,11,0,0
"Bacillus weihaiensis",0,0,0,10,10,10
"Bacillus glycinifermentans",0,0,0,10,0,21
"Neobacillus sp. OS1-33",0,0,0,96,16,28
"Neobacillus sp. SuZ13",0,0,0,16,0,0
"Oceanobacillus jeddahense",0,0,0,49,0,0
"Oceanobacillus zhaokaii",0,0,0,24,0,0
"Niallia sp. Kr1",0,0,0,89,14,17
"Niallia sp. RD1",0,0,0,24,17,0
"Lysinibacillus sp. LZ02",0,0,0,29,0,0
"Lysinibacillus pakistanensis",0,0,0,58,0,0
"Priestia aryabhattai",0,0,0,42,68,0
"Halobacillus naozhouensis",0,0,0,12,0,0
"Metabacillus sediminilitoris",0,0,0,27,0,0
"Metabacillus halosaccharovorans",0,0,0,21,0,0
"Heyndrickxia oleronia",0,0,0,51,22,0
"Cytobacillus dafuensis",0,0,0,20,0,0
"Mesobacillus subterraneus",0,0,0,14,55,48
"Lentibacillus sp. CBA3610",0,0,0,24,0,0
"Lentibacillus daqui",0,0,0,17,0,0
"Pontibacillus chungwhensis",0,0,0,23,10,0
"Pontibacillus sp. HMF3514",0,0,0,17,43,76
"Salimicrobium jeotgali",0,0,0,26,0,0
"Alkalihalophilus sp. As8PL",0,0,0,23,0,30
"Caldalkalibacillus thermarum",0,0,0,38,23,73
"Alkalihalobacillus phoenicis",0,0,0,10,0,11
"Amphibacillus xylanus",0,0,0,15,15,0
"Amphibacillus sp. Q70",0,0,0,15,42,28
"Radiobacillus kanasensis",0,0,0,12,0,0
"Pradoshia sp. D12",0,0,0,14,18,0
"Paenibacillus sp. FSL W7-1088",0,0,0,438,0,383
"Paenibacillus sp. FSL H7-0940",0,0,0,210,0,0
"Paenibacillus sp. D2_2",0,0,0,13,0,0
"Paenibacillus sp. sptzw28",0,0,0,10,0,13
"Paenibacillus amylolyticus",0,0,0,157,102,0
"Paenibacillus marchantiae",0,0,0,82,25,0
"Paenibacillus larvae",0,0,0,14,33,0
"Gemella sp. oral taxon 928",0,0,0,39,0,0
"Staphylococcus pseudoxylosus",0,0,0,81,0,0
"Staphylococcus debuckii",0,0,0,54,0,0
"Staphylococcus haemolyticus",0,0,0,40,0,0
"Staphylococcus lugdunensis",0,0,0,33,0,0
"Staphylococcus gallinarum",0,0,0,33,0,0
"Staphylococcus chromogenes",0,0,0,27,63,76
"Staphylococcus arlettae",0,0,0,21,0,0
"Staphylococcus sp. 17KM0847",0,0,0,17,0,0
"Staphylococcus auricularis",0,0,0,17,0,0
"Staphylococcus equorum",0,0,0,31,0,0
"Staphylococcus saprophyticus",0,0,0,73,0,0
"Macrococcus equi",0,0,0,56,0,0
"Macrococcus animalis",0,0,0,26,0,0
"Macrococcus armenti",0,0,0,12,12,21
"Macrococcoides canis",0,0,0,14,13,0
"Sporosarcina sp. FSL K6-1522",0,0,0,15,0,0
"Sporosarcina sp. PTS2304",0,0,0,11,0,0
"Planococcus liqunii",0,0,0,99,0,0
"Planococcus shenhongbingii",0,0,0,15,11,0
"Viridibacillus arvi",0,0,0,43,0,0
"Kurthia zopfii",0,0,0,27,45,0
"Rummeliibacillus pycnus",0,0,0,19,0,0
"Chryseomicrobium sp. FSL W7-1435",0,0,0,10,0,0
"Geobacillus subterraneus",0,0,0,157,0,42
"Fodinisporobacter ferrooxydans",0,0,0,11,0,0
"Listeria seeligeri",0,0,0,13,24,16
"Listeria sp. PSOL-1",0,0,0,13,17,0
"Pseudalkalibacillus nanhaiensis",0,0,0,22,0,16
"Sporolactobacillus sp. Y61",0,0,0,11,0,0
"Pullulanibacillus sp. KACC 23026",0,0,0,15,0,24
"Turicibacter sanguinis",0,0,0,2745,36,236
"Turicibacter sp. H121",0,0,0,937,136,3135
"Turicibacter sp. KK003",0,0,0,126,0,62
"Turicibacter faecis",0,0,0,248,0,54
"Erysipelothrix sp. HDW6A",0,0,0,25,33,0
"Erysipelothrix sp. HDW6C",0,0,0,13,0,0
"Erysipelothrix larvae",0,0,0,35,0,0
"Erysipelothrix inopinata",0,0,0,19,0,0
"Sporomusa ovata",0,0,0,68,32,0
"Parvimonas sp. G1604",0,0,0,194,31,54
"Parvimonas sp. G1425",0,0,0,44,0,0
"Peptoniphilus genitalis",0,0,0,49,43,0
"Anaerococcus cruorum",0,0,0,37,37,0
"Anaerococcus prevotii",0,0,0,15,0,20
"Tissierella sp. Yu-01",0,0,0,34,109,0
"Tissierella sp. MB52-C2",0,0,0,30,0,0
"Caldicellulosiruptor acetigenus",0,0,0,38,18,0
"Anaerocellum diazotrophicum",0,0,0,18,38,0
"Anaerocellum danielii",0,0,0,29,0,52
"endosymbiont 'TC1' of Trimyema compressum",0,0,0,10,0,0
"Scardovia inopinata",0,0,0,11,15,0
"Actinomyces sp. HMT 175",0,0,0,843,42,0
"Actinomyces sp. oral taxon 897",0,0,0,453,0,0
"Actinomyces sp. HMT897",0,0,0,414,0,0
"Actinomyces sp. Chiba101",0,0,0,41,0,0
"Actinomyces wuliandei",0,0,0,34,0,0
"Actinomyces procaprae",0,0,0,24,0,21
"Actinomyces marmotae",0,0,0,18,0,0
"Actinomyces timonensis",0,0,0,13,0,0
"Actinomyces gaoshouyii",0,0,0,13,0,0
"Trueperella bernardiae",0,0,0,39,0,0
"Mycobacterium sp. SMC-16",0,0,0,30,0,0
"Mycobacterium sp. C3-094",0,0,0,13,0,0
"Mycolicibacterium moriokaense",0,0,0,13,0,11
"Corynebacterium argentoratense",0,0,0,4819,0,0
"Corynebacterium provencense",0,0,0,163,0,0
"Corynebacterium matruchotii",0,0,0,78,0,0
"Corynebacterium gottingense",0,0,0,45,0,0
"Corynebacterium incognitum",0,0,0,11,0,0
"Nocardia sp. X0981",0,0,0,24,0,0
"Nocardia sp. NBC_00508",0,0,0,22,0,0
"Nocardia seriolae",0,0,0,23,0,0
"Rhodococcus sp. KRD162",0,0,0,77,0,0
"Prescottella agglutinans",0,0,0,19,0,0
"Prescottella equi",0,0,0,12,0,0
"Gordonia sp. w5E2",0,0,0,36,0,0
"Dietzia psychralcaliphila",0,0,0,13,0,0
"Tsukamurella pulmonis",0,0,0,13,0,0
"Arthrobacter sp. JZ12",0,0,0,36,0,0
"Arthrobacter sp. ATA002",0,0,0,21,0,0
"Arthrobacter sp. PM3",0,0,0,25,0,0
"Microbacterium sp. A8/3-1",0,0,0,86,0,0
"Microbacterium albipurpureum",0,0,0,52,0,0
"Microbacterium radiodurans",0,0,0,30,32,76
"Microbacterium lacticum",0,0,0,23,0,0
"Microbacterium phosphatis",0,0,0,12,0,0
"Cryobacterium arcticum",0,0,0,88,0,0
"Humidisolicoccus flavus",0,0,0,73,20,0
"Rathayibacter sp. VKM Ac-2801",0,0,0,68,0,0
"Clavibacter nebraskensis",0,0,0,35,0,30
"Clavibacter capsici",0,0,0,24,0,0
"Mycetocola sp. JXN-3",0,0,0,46,10,32
"Frondihabitans sp. 762G35",0,0,0,16,0,0
"Brevibacterium koreense",0,0,0,38,0,0
"Brevibacterium siliguriense",0,0,0,40,0,25
"Brevibacterium sp. BRM-1",0,0,0,14,0,23
"Cellulomonas fengjieae",0,0,0,47,0,0
"Knoellia sp. S7-12",0,0,0,35,15,0
"Cellulosimicrobium sp. E-16",0,0,0,31,0,0
"Promicromonospora sp. Populi",0,0,0,13,0,0
"Dermacoccus sp. PAMC28757",0,0,0,29,0,0
"Streptomyces sp. NBC_01643",0,0,0,404,0,0
"Streptomyces sp. FZ201",0,0,0,62,0,26
"Streptomyces sp. BBFR25",0,0,0,48,44,79
"Streptomyces sp. 11-1-2",0,0,0,52,42,50
"Streptomyces sp. NBC_01288",0,0,0,53,60,117
"Streptomyces sp. NBC_01485",0,0,0,31,33,0
"Streptomyces sp. 11x1",0,0,0,23,0,0
"Streptomyces sp. Li-HN-5-11",0,0,0,17,0,0
"Streptomyces sp. JUS-F4",0,0,0,133,0,0
"Streptomyces sp. NBC_01089",0,0,0,16,0,0
"Streptomyces gardneri",0,0,0,189,0,0
"Streptomyces broussonetiae",0,0,0,24,0,23
"Streptomyces virginiae",0,0,0,36,312,56
"Streptomyces coelicoflavus",0,0,0,49,0,0
"Actinacidiphila bryophytorum",0,0,0,18,0,0
"Tessaracoccus flavus",0,0,0,10,0,0
"Nocardioides sp. T5",0,0,0,25,0,0
"Nocardioides seonyuensis",0,0,0,53,0,0
"Nocardioides panacisoli",0,0,0,19,16,0
"Kribbella sp. CWNU-51",0,0,0,42,0,0
"Micromonospora sp. CA-248260",0,0,0,57,0,0
"Micromonospora chersina",0,0,0,36,0,0
"Actinomadura sp. NAK00032",0,0,0,14,44,14
"Amycolatopsis carbonis",0,0,0,32,26,19
"Saccharothrix espanaensis",0,0,0,12,13,0
"Pseudonocardia halophobica",0,0,0,18,10,0
"Candidatus Planktophila lacus",0,0,0,50,39,0
"Candidatus Nanopelagicus abundans",0,0,0,19,0,23
"Mycoplasma sp. Mirounga ES2805-ORL",0,0,0,17,0,0
"Mycoplasma sp. SG1",0,0,0,11,0,0
"Mycoplasma tauri",0,0,0,16,0,0
"Spiroplasma endosymbiont of Virgichneumon dumeticola",0,0,0,29,0,0
"Spiroplasma chinense",0,0,0,27,0,0
"Mesoplasma lactucae",0,0,0,25,0,0
"Williamsoniiplasma luminosum",0,0,0,15,20,0
"Mariniplasma anaerobium",0,0,0,89,0,0
"Candidatus Phytoplasma australiense",0,0,0,20,31,16
"Phytoplasma sp.",0,0,0,17,0,0
"Hujiaoplasma nucleasis",0,0,0,16,0,18
"Mycoplasmopsis agalactiae",0,0,0,74,18,0
"Mycoplasmopsis fermentans",0,0,0,75,0,0
"Mycoplasmopsis bovis",0,0,0,11,0,0
"Mycoplasmopsis gallinarum",0,0,0,10,0,0
"Metamycoplasma hominis",0,0,0,16,0,0
"Mesomycoplasma molare",0,0,0,26,0,0
"Malacoplasma iowae",0,0,0,19,0,0
"Synechococcus sp. CC9902",0,0,0,25,10,0
"Prochlorococcus sp. MIT 0916",0,0,0,73,0,0
"Rivularia sp. PCC 7116",0,0,0,71,12,0
"Geminocystis herdmanii",0,0,0,15,0,0
"Crocosphaera watsonii",0,0,0,18,0,0
"Leptolyngbya sp. BL0902",0,0,0,69,71,0
"Kovacikia minuta",0,0,0,43,0,0
"Allocoleopsis franciscana",0,0,0,24,0,0
"Acaryochloris marina",0,0,0,28,0,0
"Bacteroides sp. KG156",0,0,0,4484,0,0
"Flavobacterium sp. YJ01",0,0,0,78,0,0
"Flavobacterium sp. 140616W15",0,0,0,25,0,0
"Flavobacterium sp. PL002",0,0,0,12,0,0
"Flavobacterium aestivum",0,0,0,60,0,0
"Flavobacterium columnare",0,0,0,53,0,0
"Flavobacterium ginsenosidimutans",0,0,0,18,0,0
"Flavobacterium lacustre",0,0,0,14,0,0
"Flavobacterium adiutor",0,0,0,14,25,85
"Lutibacter sp. A64",0,0,0,72,0,0
"Lutibacter sp. A80",0,0,0,21,0,0
"Tenacibaculum todarodis",0,0,0,25,0,0
"Lacinutrix sp. Bg11-31",0,0,0,22,0,0
"Lacinutrix neustonica",0,0,0,14,0,0
"Wenyingzhuangia sp. IMCC45533",0,0,0,23,0,0
"Wenyingzhuangia sp. IMCC45574",0,0,0,18,0,0
"Siansivirga zeaxanthinifaciens",0,0,0,30,0,0
"Algorimicrobium bowmanii",0,0,0,16,0,0
"Zhouia spongiae",0,0,0,11,0,0
"Chryseobacterium shandongense",0,0,0,22,0,0
"Chryseobacterium gambrini",0,0,0,17,0,0
"Empedobacter brevis",0,0,0,21,0,0
"Runella sp. SP2",0,0,0,16,0,0
"Algoriphagus sp. NBT04N3",0,0,0,23,0,0
"Belliella baltica",0,0,0,29,0,0
"Spirosoma endbachense",0,0,0,17,0,0
"Chondrinema litorale",0,0,0,10,0,0
"Pedobacter lusitanus",0,0,0,23,0,0
"Sphingobacterium sp. SRCM116780",0,0,0,33,0,13
"Sphingobacterium puteale",0,0,0,55,0,0
"Sphingobacterium detergens",0,0,0,27,52,78
"Sediminibacterium planctonicum",0,0,0,44,0,0
"Saprospira grandis",0,0,0,18,0,0
"Rubrivirga halophila",0,0,0,12,0,0
"Ignavibacterium sp.",0,0,0,18,13,0
"Enterobacter sp. ECC-019",0,0,0,52,0,0
"Enterobacter soli",0,0,0,15,0,0
"Citrobacter cronae",0,0,0,131,0,0
"Citrobacter sp. RHB25-C09",0,0,0,16,0,0
"Citrobacter amalonaticus",0,0,0,12,0,0
"Candidatus Regiella endosymbiont of Tuberolachnus salignus",0,0,0,44,0,0
"Candidatus Blochmanniella chromaiodes",0,0,0,16,0,0
"Trabulsiella odontotermitis",0,0,0,80,13,0
"Leclercia pneumoniae",0,0,0,24,16,52
"Kluyvera ascorbata",0,0,0,29,0,0
"Jejuibacter calystegiae",0,0,0,27,0,0
"Candidatus Riesia pediculicola",0,0,0,17,0,0
"Erwinia amylovora",0,0,0,19,0,17
"Serratia sp. 1D1416",0,0,0,69,0,0
"Serratia fonticola",0,0,0,15,20,0
"Yersinia enterocolitica",0,0,0,52,0,140
"Yersinia mollaretii",0,0,0,22,0,0
"Rahnella sikkimica",0,0,0,23,0,0
"Pectobacterium punjabense",0,0,0,51,0,0
"Pectobacterium brasiliense",0,0,0,31,37,0
"Providencia rustigianii",0,0,0,51,0,0
"Sodalis endosymbiont of Henestaris halophilus",0,0,0,26,0,0
"Xanthomonas hyacinthi",0,0,0,58,0,0
"Xanthomonas fragariae",0,0,0,36,0,0
"Xanthomonas citri",0,0,0,14,0,0
"Lysobacter sp. S4-A87",0,0,0,19,0,0
"Luteibacter aegosomatis",0,0,0,73,0,16
"Haemophilus haemolyticus",0,0,0,74,25,178
"Aggregatibacter sp. 2125159857",0,0,0,16,0,16
"Aggregatibacter segnis",0,0,0,59,0,13
"Avibacterium paragallinarum",0,0,0,21,11,18
"Pseudomonas sp. 15A4",0,0,0,166,0,0
"Pseudomonas sp. ATCC 13867",0,0,0,114,0,0
"Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001",0,0,0,49,0,0
"Pseudomonas sp. JQ170C",0,0,0,31,0,0
"Pseudomonas sp. microsymbiont 2",0,0,0,21,0,0
"Pseudomonas sp. DC1.2",0,0,0,15,0,0
"Pseudomonas sp. ZS1P83",0,0,0,35,0,0
"Pseudomonas sp. FJ2-5-13",0,0,0,39,29,0
"Pseudomonas rhizosphaerae",0,0,0,41,0,0
"Pseudomonas huanghezhanensis",0,0,0,33,0,0
"Pseudomonas asplenii",0,0,0,11,0,0
"Ectopseudomonas oleovorans",0,0,0,24,0,36
"Entomomonas moraniae",0,0,0,13,0,0
